projects,category,stars,commits,LOC
https://github.com/languagetool-org/languagetool,natural language propocssing,3572,37891,493830
https://github.com/allwefantasy/ServiceFramework,jvm and jdk,539,371,28145
https://github.com/debop/hibernate-redis,orm,337,456,17335
https://github.com/essentials/Essentials,server,658,4328,49113
https://github.com/vavr-io/vavr,language,3762,4288,78923
https://github.com/stevensouza/automon,monitoring,536,329,4078
https://github.com/google/jimfs,miscellaneous,1768,429,17774
https://github.com/datumbox/datumbox-framework,machine learning,1049,605,23099
https://github.com/twitter/ambrose,twitter,1195,643,12350
https://github.com/spring-cloud/spring-cloud-zookeeper,distributed system,436,506,6943
https://github.com/apache/maven,build,2093,10660,106691
https://github.com/apache/storm,distributed system,6064,10289,364438
https://github.com/bootique/bootique,web framework,1285,1194,16497
https://github.com/eclipse/che,application,6038,8613,856660
https://github.com/chanjarster/weixin-java-tools,application,2537,380,14974
https://github.com/MoriTanosuke/glacieruploader,cli,243,229,3138
https://github.com/neoremind/fluent-validator,validator,847,82,7725
https://github.com/rackerlabs/blueflood,distributed system,591,2967,46306
https://github.com/apache/hadoop,distributed system,10367,23774,3039792
https://github.com/vladmihalcea/flexy-pool,database,783,335,9244
https://github.com/RoaringBitmap/RoaringBitmap,data structures,1685,1990,56257
https://github.com/appfuse/appfuse,web framework,398,4147,88089
https://github.com/facebook/nifty,networking,887,315,20942
https://github.com/vbauer/jackdaw,language,302,141,4067
https://github.com/magro/memcached-session-manager,session manager,736,669,20671
https://github.com/BaseXdb/basex,database,463,12117,220407
https://github.com/internetarchive/heritrix3,crawler,1708,2153,74691
https://github.com/jenkinsci/java-client-api,server,635,538,10527
https://github.com/openmrs/openmrs-core,web framework,870,10911,159323
https://github.com/dianping/pigeon,networking,744,1854,62854
https://github.com/hibernate/hibernate-ogm,orm,294,3611,101500
https://github.com/aws/aws-sdk-java,cloud application,3242,2475,8985253
https://github.com/kohsuke/jenkins,server,984,27278,241855
https://github.com/graknlabs/grakn,database,2040,4273,109362
https://github.com/apereo/java-cas-client,http client,648,909,14108
https://github.com/goldmansachs/gs-collections,utility,1776,912,286745
https://github.com/flyway/flyway,database,5034,2443,17209
https://github.com/funktionio/funktion-connectors,language,316,545,140357
https://github.com/resty-gwt/resty-gwt,utility,290,900,17441
https://github.com/uber/AthenaX,platform,1108,19,6320
https://github.com/BroadleafCommerce/BroadleafCommerce,platform,1354,16487,291605
https://github.com/ysc/QuestionAnsweringSystem,miscellaneous,1627,183,6609
https://github.com/mapstruct/mapstruct,bean mapping,2508,1337,78687
https://github.com/SonarSource/sonar-java,code analysis,618,6800,450741
https://github.com/pwm-project/pwm,miscellaneous,557,2641,170214
https://github.com/spring-projects/spring-security-oauth,web framework,4053,1373,53983
https://github.com/indeedeng/proctor,testing framework,335,1869,18728
https://github.com/58code/Argo,web framework,849,25,11885
https://github.com/OryxProject/oryx,machine learning,1697,1107,119727
https://github.com/nathanmarz/storm-contrib,distributed system,589,238,2040
https://github.com/fusesource/mqtt-client,http client,1080,160,4855
https://github.com/qos-ch/logback,logging,1859,3954,98458
https://github.com/apache/jackrabbit-oak,database,302,16707,498549
https://github.com/yusuke/twitter4j,miscellaneous,2450,2318,35048
https://github.com/kohlschutter/boilerpipe,crawler,931,188,5436
https://github.com/XiaoMi/chronos,data structures,375,20,3940
https://github.com/winder/Universal-G-Code-Sender,miscellaneous,1017,2673,50490
https://github.com/Sloeber/arduino-eclipse-plugin,platform,334,2090,32114
https://github.com/simon987/Much-Assembly-Required,miscellaneous,848,402,102577
https://github.com/konsoletyper/teavm,miscellaneous,1434,2416,200614
https://github.com/aragozin/jvm-tools,jvm and jdk,2687,365,34616
https://github.com/oldmanpushcart/greys-anatomy,jvm and jdk,3404,653,11283
https://github.com/apache/calcite,miscellaneous,1811,4080,313489
https://github.com/apache/mina,networking,744,2401,25254
https://github.com/dbpedia-spotlight/dbpedia-spotlight,database,717,1138,35962
https://github.com/confluentinc/ksql,database,3341,6538,55394
https://github.com/graphhopper/jsprit,utility,1023,2093,71649
https://github.com/takari/polyglot-maven,miscellaneous,695,759,33345
https://github.com/dain/leveldb,utility,1183,228,12971
https://github.com/before/uadetector,utility,231,705,131672
https://github.com/opennetworkinglab/onos,miscellaneous,776,14757,898430
https://github.com/spring-projects/spring-data-book,web framework,1054,210,13315
https://github.com/myabc/markdownj,utility,432,101,3015
https://github.com/mpetazzoni/ttorrent,utility,1162,942,7051
https://github.com/my2iu/Jinq,database,571,539,26973
https://github.com/jaxio/celerio-angular-quickstart,code generators,481,281,17947
https://github.com/Stratio/cassandra-lucene-index,miscellaneous,572,1114,37629
https://github.com/kaaproject/kaa,platform,1200,6771,322851
https://github.com/oshi/oshi,utility,1535,1364,21659
https://github.com/pholser/junit-quickcheck,testing framework,753,915,27463
https://github.com/square/wire,data structures,3110,2362,39773
https://github.com/gephi/gephi,utility,3786,4625,129260
https://github.com/alibaba/taokeeper,monitoring,1008,40,9831
https://github.com/zhangkaitao/servlet3-showcase,server,608,20,5973
https://github.com/espertechinc/esper,miscellaneous,609,1039,541006
https://github.com/OpenNMS/opennms,platform,496,45484,3210147
https://github.com/clun/ff4j,miscellaneous,731,968,71246
https://github.com/allure-framework/allure1,testing framework,730,1380,27088
https://github.com/apache/tinkerpop,miscellaneous,1093,16356,176416
https://github.com/Pi4J/pi4j,utility,1157,1029,38776
https://github.com/undertow-io/undertow,server,2709,4792,137199
https://github.com/apache/flume,logging,1937,1812,98366
https://github.com/redisson/redisson,database,12875,5633,95465
https://github.com/rancher/cattle,miscellaneous,555,6412,194736
https://github.com/hector-client/hector,http client,650,2161,33131
https://github.com/mttkay/signpost,messaging,561,157,3929
https://github.com/borball/weixin-sdk,miscellaneous,818,299,18099
https://github.com/senseidb/zoie,database,350,524,18278
https://github.com/la-team/light-admin,gui,637,826,80969
https://github.com/apache/nifi,platform,2012,5767,657128
https://github.com/alibaba/java-dns-cache-manipulator,utility,518,157,2638
https://github.com/infinispan/infinispan,database,798,12904,639449
https://github.com/GoogleCloudPlatform/DataflowJavaSDK,platform,853,2332,4159
https://github.com/spring-cloud/spring-cloud-aws,web framework,422,1467,26738
https://github.com/decebals/pippo,web framework,725,1361,23310
https://github.com/ahmetaa/zemberek-nlp,natural language propocssing,784,1326,50669
https://github.com/looly/hutool,utility,11956,616,57078
https://github.com/alibaba/jstorm,platform,3926,333,251977
https://github.com/jan-molak/jenkins-build-monitor-plugin,server,671,460,33443
https://github.com/openscoring/openscoring,rest frameworks,505,548,4288
https://github.com/apache/wicket,web framework,508,20855,290917
https://github.com/ltsopensource/light-task-scheduler,distributed system,2629,1047,97841
https://github.com/consulo/consulo,platform,594,104982,1284509
https://github.com/ippontech/tatami,networking,325,3942,299632
https://github.com/networknt/light-4j,miscellaneous,2767,1309,30540
https://github.com/aaberg/sql2o,database,981,648,9534
https://github.com/intel-hadoop/HiBench,performance,990,1492,24823
https://github.com/google/truth,testing framework,2036,1477,29652
https://github.com/stoicflame/enunciate,miscellaneous,444,2405,144745
https://github.com/hypercube1024/firefly,web framework,270,2225,101135
https://github.com/spring-cloud-incubator/spring-cloud-kubernetes,distributed system,2119,594,8152
https://github.com/kiegroup/optaplanner,configuration,1544,7286,2994098
https://github.com/streamsets/datacollector,distributed system,956,9825,834907
https://github.com/peter-lawrey/Java-Chronicle,database,1156,306,20509
https://github.com/alibaba/otter,database,5772,139,90564
https://github.com/uber/chaperone,utility,630,6,11613
https://github.com/apache/shiro,security,2953,1992,45882
https://github.com/apache/hive,database,3111,14377,1685868
https://github.com/knightliao/disconf-demos-java,demo,381,68,2211
https://github.com/apache/kylin,distributed system,2622,8213,210015
https://github.com/Hive2Hive/Hive2Hive,sync,448,1991,28707
https://github.com/blockchain/thunder,blockchain,422,439,17334
https://github.com/ObjectLayout/ObjectLayout,GUI,393,235,10368
https://github.com/gchq/Gaffer,database,1575,6693,163342
https://github.com/zstackio/zstack,application,843,9276,643043
https://github.com/apache/rocketmq,messaging,10790,1335,76610
https://github.com/apache/zeppelin,web application,4667,4494,188362
https://github.com/YahooArchive/samoa,platform,425,314,27864
https://github.com/timmolter/XChart,graph,931,1234,18547
https://github.com/rakam-io/rakam,platform,765,1754,56261
https://github.com/normanmaurer/netty-in-action,application,1521,79,3375
https://github.com/im-qq/iqq,application,600,45,6460
https://github.com/scouter-project/scouter,performance,1564,2673,252759
https://github.com/kamilfb/mqtt-spy,monitoring,337,347,42188
https://github.com/Esri/spatial-framework-for-hadoop,database,277,369,8839
https://github.com/confluentinc/schema-registry,rest frameworks,1211,2633,19168
https://github.com/cschneider/Karaf-Tutorial,demo,242,340,11547
https://github.com/roundrop/facebook4j,application,309,701,128355
https://github.com/OpenHFT/Java-Thread-Affinity,performance,1012,398,4335
https://github.com/Alluxio/alluxio,machine learning,4576,30886,308638
https://github.com/apache/cloudstack,platform,855,32425,1195886
https://github.com/igniterealtime/Openfire,server,2125,9358,454041
https://github.com/timmolter/XChange,utility,2899,8956,421809
https://github.com/eclipse/paho.mqtt.java,jvm and jdk,1211,806,28419
https://github.com/snakerflow/snakerflow,engine,603,121,12697
https://github.com/mybatis/spring-boot-starter,web framework,2947,611,3271
https://github.com/JanusGraph/janusgraph,graph database,3269,6028,236705
https://github.com/blynkkk/blynk-server,platform,1781,4832,57142
https://github.com/reficio/soap-ws,web framework,268,214,18494
https://github.com/magefree/mage,engine,1046,30397,1138626
https://github.com/GoogleCloudPlatform/google-cloud-java,cloud application,1412,4875,1629697
